Player,EVENTS_PLAYED,POINTS,NUMBER_OF_WINS,NUMBER_OF_TOP_Tens,POINTS_BEHIND_LEAD,ROUNDS_PLAYED,SG_PUTTING_PER_ROUND,TOTAL_SG:PUTTING,MEASURED_ROUNDS,AVG_Driving_DISTANCE,UP_AND_DOWN_%,PAR_OR_BETTER,MISSED_GIR,FAIRWAY_HIT_%,FAIRWAYS_HIT,POSSIBLE_FAIRWAYS,GIR_RANK,GOING_FOR_GREEN_IN_2%,ATTEMPTS_GFG,NON-ATTEMPTS_GFG,RTP-GOING_FOR_THE_GREEN,RTP-NOT_GOING_FOR_THE_GRN,HOLE_OUTS,SAND_SAVE%,NUMBER_OF_SAVES,NUMBER_OF_BUNKERS,TOTAL_O/U_PAR,Three_PUTT%,TOTAL_3_PUTTS,SG_PER_ROUND,SG:OTT,SG:APR,SG:ARG,DRIVES_320+%,TOTAL_DRIVES_FOR_320+,TOTAL_DRIVES,ROUGH_TENDNECY%,TOTAL_ROUGH,FAIRWAY_BUNKER%,TOTAL_FAIRWAY_BUNKERS,AVG_CLUB_HEAD_SPEED,FASTEST_CH_SPEED,SLOWEST_CH_SPEED,AVG_BALL_SPEED,FASTEST_BALL_SPEED,SLOWEST_BALL_SPEED,AVG_SMASH_FACTOR,HIGHEST_SF,LOWEST_SF,AVG_LAUNCH_ANGLE,LOWEST_LAUNCH_ANGLE,STEEPEST_LAUNCH_ANGLE,AVG_SPIN_RATE,HIGHEST_SPIN_RATE,LOWEST_SPIN_RATE,AVG_HANG_TIME,LONGEST_ACT.HANG_TIME,SHORTEST_ACT.HANG_TIME,AVG_CARRY_DISTANCE,LONGEST_CARRY_DISTANCE,SHORTEST_CARRY_DISTANCE,AVG_SCORE,TOTAL_STROKES,TOTAL_ROUNDS,MAKES_BOGEY%,BOGEYS_MADE,HOLES_PLAYED,AGE
Billy Horschel,25,1610,1,4,4007,78,0.331,22.868,69,296.1,57.84,225,389,67.6,701,1037,10,59.18,158,109,-102,-21,7,50,55,110,38,2.56,36,0.649,0.559,0.278,-0.189,9.57,98,"1,024",23.73,243,5.4,55,114.32,119.66,108.82,169.92,179.17,164.37,1.486,1.519,1.438,12.7,8.89,17.38,2645.4,5425,1993,6.6,8.1,4,279.8,321.5,243,70.258,5449,78,14.03,197,1404,31
Billy Hurley III,27,73,0,0,5544,70,0.025,1.414,57,284,54.93,234,426,59.24,529,893,171,39.9,81,122,-45,-11,10,48.96,47,96,35,2.95,34,-0.727,-0.696,-0.17,0.139,3.14,25,796,30.54,241,5.4,43,109.3,115.9,105.21,161.67,166.3,157.59,1.479,1.511,1.416,12.65,7.14,15.39,2725.4,5880,1789,6.1,7.2,3.9,263.9,283.7,230,71.715,4565,64,19.18,221,1152,36
Blayne Barber,22,202,0,0,5415,69,-0.022,-1.323,60,294.7,57.46,208,362,64.67,604,934,22,53.66,110,95,-69,-2,6,52.73,58,110,38,3.23,39,-0.019,0.101,-0.047,-0.073,7.66,64,836,26.23,218,4.7,39,111.16,115.14,107.46,166.91,172.62,160.57,1.501,1.516,1.484,12.62,9.01,16.73,2639.8,5422,1766,6.3,7.5,3.5,277.2,302.9,254.9,70.835,4699,67,15.67,189,1206,28
Branden Grace,18,634,0,2,4983,67,0.283,11.334,40,299.1,58.55,202,345,63.44,531,837,62,63.06,99,58,-60,-4,6,47.71,52,109,31,3.13,36,0.471,0.155,0.182,0.134,14.57,81,556,29.95,165,5.8,32,115.23,118.33,111.34,173.69,177.7,168.68,1.507,1.518,1.492,12.62,9.43,16.84,2664.6,4593,1954,5.9,7.2,3.3,278.4,298.9,256,70.412,4515,64,16.41,189,1152,30
Brandon Harkins,30,545,0,3,5072,101,0.225,19.146,85,303.1,55.88,328,587,54.79,727,1327,114,62.06,193,118,-113,2,10,53.42,86,161,53,3.1,53,0.05,0.181,-0.006,-0.124,15.99,190,"1,188",32.71,386,7.1,84,116.76,121.96,113,175.21,179.21,170.52,1.5,1.526,1.444,12.61,8.64,16.53,2801.2,5588,1778,6.6,7.9,2.7,290,311.5,264.2,70.721,6688,95,17.6,301,1710,32
Brandt Snedeker,24,1174,1,4,4443,80,0.499,32.916,66,293.5,61.82,285,461,62.25,643,1033,121,49.11,110,114,-58,-19,14,57.48,73,127,35,2.03,30,0.352,-0.079,0.074,0.357,6.05,59,976,25.9,251,7.5,73,111.12,116.29,107.65,165.37,171.38,160.44,1.488,1.515,1.432,12.6,7.53,16.34,2584.6,4138,1923,6.3,7.7,3.8,270.9,292.1,245.6,70.379,5753,82,15.51,229,1476,37
Brendan Steele,21,998,1,3,4619,70,-0.481,-22.13,46,311.4,53.13,170,320,59.47,496,834,24,68.53,135,62,-68,0,6,47.78,43,90,29,3.07,37,0.751,0.684,0.306,-0.239,23.44,165,704,30.7,214,5.6,39,116.88,121.73,113.69,174.55,179.93,170.31,1.493,1.522,1.455,12.54,9.88,16.73,2521.7,3437,1934,6.4,7.5,4.5,285.8,317.3,251.9,71.021,4754,67,17.74,214,1206,35
Brett Stegmaier,21,149,0,0,5468,67,0.401,18.83,47,295.4,56.44,184,326,58.38,498,853,14,52.94,90,80,-48,-16,8,48.28,28,58,20,3.01,33,-0.353,-0.135,0.078,-0.296,8.51,56,658,33.59,219,4.3,28,110.85,112.97,107.79,166.03,171.26,153.02,1.497,1.519,1.38,12.54,6.79,15.71,2219.9,3524,1522,6.1,7.3,2,279.5,309.6,239.5,71.191,4301,61,15.76,173,1098,35
Brian Gay,29,910,0,6,4707,99,0.48,40.29,84,282.8,63.93,381,596,70.36,914,1299,147,37.79,113,186,-71,-36,15,51.88,69,133,50,2.2,40,0.103,-0.136,-0.019,0.257,2.28,28,"1,230",21.84,268,5.1,63,105.76,109.25,102.15,157.17,160.26,153.51,1.486,1.512,1.442,12.47,9.21,15.5,2339.9,5462,1606,6.4,7.5,3.6,261.5,289.6,236,70.28,7062,101,14.96,272,1818,46
Brian Harman,24,1116,0,8,4501,90,0.536,34.332,64,292.6,57.96,273,471,66.2,764,1154,60,53.71,123,106,-69,-13,9,48.87,65,133,37,3.33,54,0.038,0.17,-0.029,-0.103,10.15,97,956,24.58,234,6.5,62,109.93,116.41,107.31,164.02,167.14,160.94,1.492,1.516,1.424,12.44,7.43,16.78,2509.7,6055,1942,6.3,7.4,3.3,271.1,294,246.1,70.536,6341,90,16.85,273,1620,31
