Player,EVENTS_PLAYED,POINTS,NUMBER_OF_WINS,NUMBER_OF_TOP_Tens,POINTS_BEHIND_LEAD,ROUNDS_PLAYED,SG_PUTTING_PER_ROUND,TOTAL_SG:PUTTING,MEASURED_ROUNDS,AVG_Driving_DISTANCE,UP_AND_DOWN_%,PAR_OR_BETTER,MISSED_GIR,FAIRWAY_HIT_%,FAIRWAYS_HIT,POSSIBLE_FAIRWAYS,GIR_RANK,GOING_FOR_GREEN_IN_2%,ATTEMPTS_GFG,NON-ATTEMPTS_GFG,RTP-GOING_FOR_THE_GREEN,RTP-NOT_GOING_FOR_THE_GRN,HOLE_OUTS,SAND_SAVE%,NUMBER_OF_SAVES,NUMBER_OF_BUNKERS,TOTAL_O/U_PAR,Three_PUTT%,TOTAL_3_PUTTS,SG_PER_ROUND,SG:OTT,SG:APR,SG:ARG,DRIVES_320+%,TOTAL_DRIVES_FOR_320+,TOTAL_DRIVES,ROUGH_TENDNECY%,TOTAL_ROUGH,FAIRWAY_BUNKER%,TOTAL_FAIRWAY_BUNKERS,AVG_CLUB_HEAD_SPEED,FASTEST_CH_SPEED,SLOWEST_CH_SPEED,AVG_BALL_SPEED,FASTEST_BALL_SPEED,SLOWEST_BALL_SPEED,AVG_SMASH_FACTOR,HIGHEST_SF,LOWEST_SF,AVG_LAUNCH_ANGLE,LOWEST_LAUNCH_ANGLE,STEEPEST_LAUNCH_ANGLE,AVG_SPIN_RATE,HIGHEST_SPIN_RATE,LOWEST_SPIN_RATE,AVG_HANG_TIME,LONGEST_ACT.HANG_TIME,SHORTEST_ACT.HANG_TIME,AVG_CARRY_DISTANCE,LONGEST_CARRY_DISTANCE,SHORTEST_CARRY_DISTANCE,AVG_SCORE,TOTAL_STROKES,TOTAL_ROUNDS,MAKES_BOGEY%,BOGEYS_MADE,HOLES_PLAYED,AGE
Cody Gribble,25,141,0,0,5476,71,0.201,10.838,54,301,53.3,234,439,55.45,504,909,177,63.27,124,72,-64,12,10,48.72,57,117,47,2.74,32,-1.02,-0.212,-0.696,-0.111,9.39,71,756,33.29,249,6.6,49,112.31,116.94,108.2,168.33,173.02,162.85,1.499,1.519,1.445,12.1,8.88,14.9,2127.3,4271,1536,6.5,7.6,3.3,285.3,317.7,251.4,72.112,4667,65,19.57,229,1170,27
Conrad Shindler,20,92,0,0,5525,60,-0.167,-7.33,44,291.3,60,204,340,65.77,515,783,103,54.79,80,66,-54,-1,10,48.15,39,81,32,2.98,30,-0.146,0.114,-0.008,-0.252,5.52,34,616,26.63,163,5.1,31,119.01,124.46,112.63,169.76,174.05,163.2,1.427,1.512,1.353,12.09,8.59,16.38,3346.1,9377,2274,6.4,7.2,4.3,273.4,292.8,247.3,71.465,3952,56,15.97,161,1008,30
Corey Conners,28,353,0,1,5264,97,-0.385,-30.431,79,303.3,57.52,287,499,62.99,817,1297,17,56.52,156,120,-77,-23,12,44.27,58,131,46,3.88,65,0.579,0.501,0.275,-0.198,13.07,144,"1,102",28.14,309,5.5,60,114.6,117.65,110.43,172.06,176.28,162.36,1.501,1.518,1.452,12.08,8.89,14.28,2942.9,9557,1425,6.4,7.6,4,281.5,316.4,250.2,70.743,6543,93,16.07,269,1674,26
D.A. Points,25,162,0,1,5455,63,0.11,5.274,48,280.8,53.32,233,437,60.47,517,855,191,43.48,80,104,-46,11,5,57.66,64,111,45,3.19,35,-1.559,-1.069,-0.541,0.051,5.19,35,674,29.49,197,5.5,37,107.93,112.31,103.48,160.2,165.8,152.6,1.484,1.518,1.437,12.06,7.82,15.77,2578,3475,1701,6.4,7.5,5,262.1,285.3,237.8,73.019,4414,61,21.22,233,1098,41
Daniel Berger,23,839,0,1,4778,81,0.18,10.445,58,298,59.48,251,422,64,649,1014,85,63.96,142,80,-77,-4,9,48.74,58,119,41,2.56,35,0.493,0.149,0.509,-0.166,14.09,115,816,27,219,4.8,39,115.21,120.03,111.57,170.18,173.91,164.48,1.477,1.507,1.425,12.03,7.1,17.23,2590.2,5925,1582,6.4,8,4.2,277.1,303.5,233.9,70.32,5353,76,16.01,219,1368,25
Daniel Summerhays,19,89,0,1,5528,51,0.736,27.96,38,287.1,54.86,192,350,54.69,344,629,194,50,74,74,-36,-3,10,52.44,43,82,38,1.48,12,-2.84,-0.977,-1.586,-0.277,3.76,20,532,37.79,198,5,26,109.15,113.06,105.63,162.06,165.49,156.05,1.484,1.51,1.451,12.02,5.62,15.35,2547.8,5154,1539,5.5,7.3,2.4,260.6,284.4,200.5,73.177,3261,45,20.86,169,810,34
Danny Lee,30,587,0,3,5030,88,0.156,10.927,70,290.6,60.81,329,541,62.65,753,1202,131,60.08,155,103,-71,2,17,55.62,99,178,41,2.84,44,-0.099,0.005,-0.155,0.051,6.54,64,978,26.93,261,6.1,59,110.92,117.07,106.17,165.68,172.5,159.65,1.493,1.517,1.45,11.99,5.68,15.95,2685.9,5990,1444,6.7,7.8,4.3,276.6,300.5,237.2,71.196,6077,86,16.02,248,1548,28
David Hearn,21,315,0,2,5302,66,-0.127,-6.334,50,285.1,55.65,187,336,66.63,559,839,40,38.2,68,110,-42,-9,6,47.62,40,84,30,3.61,39,0.095,-0.17,0.379,-0.113,3.57,25,700,26.69,186,4.9,34,107.54,111.31,103.92,159.56,163.16,154.57,1.484,1.517,1.417,11.97,8.09,14.85,2906.2,7869,1987,6.6,7.9,2.7,268.4,290.8,237.3,71.325,4238,60,16.57,179,1080,39
David Lingmerth,26,274,0,0,5343,82,0.229,15.774,69,285.4,58.57,304,519,68.93,750,1088,169,48.18,119,128,-58,-11,13,48.41,61,126,51,2.56,36,-0.235,0.006,-0.16,-0.081,3.12,30,962,23.65,227,5.2,50,109.47,114.63,105.63,163.9,168.06,158.88,1.497,1.518,1.425,11.96,5.88,15.11,2928.3,6646,1899,6.3,7.3,2.7,268.8,292.3,226.2,71.043,5511,78,17.17,241,1404,31
Denny McCarthy,22,267,0,1,5350,71,0.449,22.017,49,295.4,59.83,216,361,63.45,559,881,59,60.12,104,69,-58,4,5,46.15,42,91,31,2.38,27,-0.355,0.011,-0.347,-0.019,6.71,46,686,25.26,172,6,41,113.28,117.13,110.27,169.32,172.04,166.1,1.494,1.518,1.438,11.94,7.16,15.77,2641.6,4182,2036,6.4,7.7,0.9,283.7,309.9,252.6,70.861,4432,63,14.73,167,1134,25
Derek Fathauer,28,316,0,1,5301,84,0.363,24.663,68,289.1,54.99,314,571,53.27,595,1117,190,55.14,134,109,-68,8,20,43.62,65,149,68,2.85,41,-1.17,-0.757,-0.365,-0.048,3.37,32,950,33.65,315,7.8,73,110.46,117.81,102.83,165.6,170.53,154.42,1.499,1.518,1.42,11.93,8.12,15.29,2479.8,5132,1900,5.9,7.3,2.5,266.1,290,240.7,71.827,5722,80,19.58,282,1440,27
Dominic Bozzelli,20,190,0,0,5427,65,0.308,18.799,61,297,58.86,269,457,55.69,504,905,185,59.35,127,87,-64,8,17,44.8,56,125,54,2.39,28,-0.363,-0.244,-0.252,0.133,8.35,71,850,30.88,260,6.4,54,114.91,118.48,111.15,171.08,175.83,165.63,1.488,1.518,1.44,11.91,6.32,14.95,2724.3,3742,1655,6.3,7.7,1.5,279.5,304.9,248,71.179,4603,65,18.03,211,1170,26
Dustin Johnson,18,3289,3,11,2328,69,0.503,25.126,50,314.5,63.31,214,338,57.96,506,873,27,68.5,137,63,-94,-7,13,50.63,40,79,21,1.67,21,1.987,1.006,0.824,0.157,33.29,253,760,32,240,4,30,121.6,126.61,118.55,181.43,185.56,176.55,1.492,1.518,1.459,11.89,6.79,15.88,2713.8,8766,1716,6.6,8.1,3.2,299.7,333.6,275.7,68.702,4799,70,12.54,158,1260,34
Emiliano Grillo,24,1252,0,6,4365,90,0.574,38.484,67,294.7,62.55,299,478,69.82,842,1206,36,58.16,139,100,-76,-16,4,56.03,79,141,36,2.66,44,0.755,0.413,0.434,-0.092,7.04,70,994,22.27,220,5.9,58,115,118.48,112.8,169.17,173.37,164.2,1.471,1.503,1.414,11.87,8.55,15.12,2715.5,5367,1531,6.4,7.4,4.4,276.8,297.8,233.5,70.152,6438,92,14.43,239,1656,25
Ethan Tracy,23,157,0,0,5460,72,-0.026,-1.408,54,299,54.88,236,430,60.25,573,951,137,53.5,107,93,-50,-4,14,34.86,38,109,51,3.68,45,-0.786,-0.054,-0.423,-0.309,10.45,79,756,30.53,229,5.7,43,115.99,121.06,112.35,171.76,176.4,165.88,1.481,1.515,1.425,11.86,8.35,14.67,2756.4,3658,1470,6.1,7.7,1.9,276.6,301.5,244.2,72.038,4857,68,18.63,228,1224,28
Fabian Gomez,28,221,0,0,5396,88,0.001,0.056,71,291.1,58.85,286,486,64.99,761,1171,70,51.56,132,124,-72,-7,15,43.2,54,125,53,2.71,41,-0.107,-0.062,-0.015,-0.03,4.34,43,990,27.38,270,5.7,56,112.05,116.37,108.49,165.03,170.2,161.62,1.473,1.514,1.422,11.81,9,14.14,2475.7,5721,1603,6,7.1,1.6,268.5,298.7,239,71.02,5929,84,15.34,232,1512,39
Francesco Molinari,18,1682,2,4,3935,65,-0.486,-21.89,45,301.6,60.13,187,311,63.97,522,816,16,68.79,119,54,-60,-6,6,50,46,92,23,3.03,36,1.674,0.767,0.702,0.205,14.58,100,686,24.01,163,5.7,39,112.82,116.71,109.74,169.12,174.4,164.83,1.499,1.519,1.45,11.75,6.62,15.23,2812,6065,1847,6.6,7.8,3.7,286.2,303.9,264.8,69.746,4613,66,14.9,177,1188,35
Gary Woodland,25,1205,1,3,4412,88,-0.045,-2.586,58,313.2,54.46,226,415,62.69,694,1107,9,77.46,165,48,-104,-2,9,42.77,74,173,56,3.64,57,1.097,0.862,0.53,-0.295,25.75,223,866,28.84,248,4.7,40,122.61,126.5,117.3,180.22,186.55,174.28,1.47,1.522,1.418,11.73,6.78,16.02,2585,3897,1528,6.9,8.2,4.9,294.9,333.8,262,70.197,6113,87,16.6,260,1566,34
Graeme McDowell,20,274,0,1,5343,67,0.489,21.497,44,293.2,60.82,222,365,64.44,511,793,146,56.4,97,75,-49,-10,7,47.32,53,112,34,3.2,34,0.216,0.143,-0.026,0.099,7.19,44,612,28.62,174,4.9,30,111.44,116.76,106.97,164.41,169.66,157.99,1.475,1.516,1.397,11.72,6.68,14.89,2458.3,3835,1476,6.2,7.5,3.8,271,300.9,212.5,71.001,4196,59,16.76,178,1062,39
Grayson Murray,22,438,0,2,5179,72,-0.35,-20.673,59,307.3,54.32,264,486,56,565,1009,176,67.76,166,79,-86,27,10,43.93,76,173,67,4.63,60,0.014,0.375,-0.347,-0.015,24.76,205,828,31.37,256,7.2,59,118.59,125.28,114.1,178.34,183.11,171.96,1.504,1.526,1.452,11.68,5.63,16.12,2560.1,6321,1739,6.4,7.9,1.2,295.2,322.7,253.4,72.091,5176,72,20.37,264,1296,24
Greg Chalmers,20,133,0,1,5484,56,0.79,32.382,41,282.8,52.85,213,403,58.9,427,725,193,40.99,66,95,-26,-10,8,50.44,57,113,50,1.5,14,-2.055,-0.69,-1.192,-0.174,3.15,18,572,26.98,153,7.1,40,108.56,113.43,103.13,160.9,167.37,149.69,1.482,1.519,1.386,11.63,7.82,15.23,2213,3365,1610,6.1,6.9,4.5,259.6,279.1,237.4,72.531,3767,52,21.37,200,936,44
Harold Varner III,27,524,0,3,5093,91,-0.026,-1.846,72,308.2,59,295,500,58.73,713,1214,61,62.55,162,97,-94,-8,13,52,78,150,31,3.18,51,0.209,0.209,-0.052,0.052,19.32,194,"1,004",32.39,322,5.3,53,116.77,122.68,112.25,173.46,179.53,166.22,1.485,1.517,1.437,11.62,7.37,15.84,2311.1,3936,1565,6.6,7.7,3.7,292.9,315.4,268.3,70.971,6303,89,16.48,264,1602,28
Harris English,31,383,0,2,5234,84,0.222,15.063,68,302.4,57.86,298,515,58.99,643,1090,166,64.44,154,85,-80,5,13,44.67,67,150,44,2.35,33,-0.406,-0.219,-0.297,0.111,13.89,132,950,29.21,274,6.7,63,116.77,119.23,112.15,175.75,178.67,167.01,1.505,1.519,1.479,11.61,8.42,14.53,2609.4,3242,1823,6.5,7.4,3.7,288,322.2,254.7,71.162,5522,78,17.45,245,1404,29
Henrik Stenson,15,881,0,5,4736,56,-0.433,-15.604,36,291,60.79,138,227,74.33,501,674,1,71.54,88,35,-51,-1,1,54.39,31,57,17,1.88,19,1.479,0.587,0.975,-0.084,3.76,21,558,16.67,93,6.5,36,115.85,118.51,112.91,174.48,179.58,166.71,1.506,1.518,1.457,11.6,7.02,14.86,2865.8,3527,1400,6.5,7.4,4.9,281.6,300.3,261,69.617,3901,56,12.2,123,1008,42
Hideki Matsuyama,19,1271,0,3,4346,67,0.197,8.86,45,302.5,61.4,210,342,60.87,515,846,51,69.71,122,53,-72,-8,10,55.42,46,83,29,3.19,39,0.927,0.164,0.503,0.26,16.67,115,690,31.42,214,5,34,116.83,119.39,113.54,173.41,178.33,167.55,1.484,1.517,1.451,11.6,7.51,17.04,2629.3,6193,1668,6.6,7.8,3.9,287.6,311.3,264.2,70.089,4753,68,14.46,177,1224,28
Hudson Swafford,22,245,0,0,5372,73,-0.26,-13.534,52,302.8,54.01,202,374,64.57,607,940,38,59.6,118,80,-69,-3,5,51.52,51,99,27,4.39,53,-0.232,0.225,-0.237,-0.221,17.12,125,730,23.62,171,6.2,45,118.29,122.28,113.12,173.93,178,169.51,1.47,1.516,1.392,11.59,8.09,13.3,2674.9,5852,1610,6.5,7.6,3.3,283.2,313.7,250.7,71.619,4760,67,17.83,215,1206,27
Hunter Mahan,21,234,0,1,5383,67,0.346,17.634,51,296.9,58.81,207,352,65.04,573,881,39,56.72,114,87,-55,-10,9,40.95,43,105,43,2.2,25,-0.137,0.465,-0.149,-0.453,8.96,64,714,28.87,205,5.6,40,115.27,117.99,111.85,168.91,172.25,163.65,1.465,1.492,1.432,11.56,9.21,13.63,2762.6,5693,1865,6.5,7.8,4,281.7,299.7,249.8,71.135,4439,63,14.73,167,1134,36
Ian Poulter,19,1061,1,4,4556,69,0.17,7.156,42,293.4,58.56,195,333,65.31,512,784,96,49.68,77,78,-38,-20,8,51.46,53,103,38,2.08,24,0.815,0.193,0.454,0.168,6.7,43,642,25.82,165,6.9,44,111.62,114.32,109.82,167.36,170.28,164.31,1.499,1.515,1.463,11.54,8.25,14.11,2866.6,5667,2053,6.1,6.9,3.8,264.6,285.4,239.8,70.593,4519,64,16.23,187,1152,38
J.B. Holmes,24,668,0,3,4949,77,-0.207,-14.109,68,306.1,57.14,268,469,57.13,597,1045,123,62.89,161,95,-86,-15,13,54.55,84,154,30,3.04,41,0.756,0.565,0.159,0.032,21.41,203,948,30.66,287,6.2,58,120.83,125.99,117.75,178.22,183.34,172.04,1.475,1.515,1.387,11.51,7.92,15.74,2622.5,4059,1642,6.7,8.2,2.2,292.2,320.1,257.7,70.789,5306,75,17.11,231,1350,34
J.J. Henry,28,239,0,1,5378,81,-0.569,-35.859,63,291.8,54.77,218,398,66.22,692,1045,12,44.69,101,125,-57,-8,8,42.22,38,90,37,3.26,44,0.376,0.174,0.34,-0.138,4.56,40,878,25.72,224,6.1,53,112.78,118.51,108.57,167.53,173.05,158.57,1.485,1.515,1.365,11.5,7.04,15.73,2850.3,5632,1497,6.6,7.5,3.9,276.6,303.6,252.5,71.372,5321,75,16,216,1350,39
J.J. Spaun,26,880,0,4,4737,81,-0.167,-11.191,67,298.9,55.79,236,423,65.71,690,1050,44,56.85,137,104,-71,-7,9,44.17,53,120,51,2.95,42,0.529,0.319,0.453,-0.244,9.26,92,994,24.34,241,5.6,55,114.51,120.32,110.39,167.18,173.02,161.21,1.46,1.506,1.404,11.5,7.18,14.79,2467.2,3305,1555,6.4,7.7,3.9,275.6,310.9,245.4,70.525,5537,79,15.96,227,1422,29
J.T. Poston,22,448,0,2,5169,73,0.135,7.706,57,300.7,57.53,233,405,61.53,611,993,52,57.07,117,88,-61,10,6,50,56,112,40,2.27,29,0.003,0.381,-0.373,-0.005,12.16,97,798,30.52,242,6.6,52,115.72,119.11,112.37,171.83,176.45,166.75,1.485,1.515,1.419,11.48,7.93,14.82,2581.3,4764,1945,6.1,7.5,2.2,282.8,310.1,245.8,70.915,4999,71,15.49,198,1278,31
James Hahn,26,666,0,1,4951,85,-0.152,-10.517,69,298.7,59.62,279,468,63.73,731,1147,54,57.48,146,108,-96,0,10,48.48,64,132,41,3.05,45,0.431,0.323,0.081,0.028,9.32,90,966,25.03,240,6.5,62,114.28,118.54,110.49,167.88,173,159.56,1.469,1.509,1.4,11.46,6.41,16.26,2343.9,4404,1486,6.7,8,3.6,281.7,312.1,249.6,70.896,5779,82,15.51,229,1476,32
Jamie Lovemark,26,664,0,3,4953,92,0.01,0.81,78,303.2,61.07,342,560,56.92,699,1228,143,62.76,182,108,-101,-5,18,53.33,96,180,43,2.71,43,0.378,-0.101,-0.04,0.519,12.32,134,"1,088",32.71,352,7,75,116.14,120.96,112.39,172.07,176.66,166.1,1.481,1.517,1.425,11.46,6.13,17.98,2525.1,4610,1539,6.4,7.6,3.3,281.6,314.2,248.1,70.734,6201,88,15.97,253,1584,29
Jason Day,18,1935,2,5,3682,67,0.862,33.632,39,310.7,64.46,234,363,59.02,481,815,124,54.79,80,66,-53,-11,10,64.17,77,120,24,1.91,22,0.725,0.229,-0.133,0.629,21.1,127,602,30.55,183,8,48,117.31,120.64,114.28,176.44,181.14,170.95,1.504,1.518,1.451,11.43,7.84,15.69,2131,2819,1490,6.4,7.8,2.5,294.8,327.9,259,69.586,4461,64,14.58,168,1152,30
Jason Dufner,22,557,0,2,5060,71,-0.031,-1.467,48,296.9,59.16,226,382,61.94,524,846,144,55.21,106,86,-55,-4,6,51.55,50,97,26,3.91,45,-0.074,0.259,-0.126,-0.207,13.2,89,674,26.16,175,6.3,42,112.4,117.43,108.51,169.16,173.98,163.24,1.504,1.517,1.468,11.4,5.8,14.97,2587.9,4925,1526,6.3,7.5,4.9,276.2,316.4,234.2,71.323,4564,64,17.71,204,1152,41
Jason Kokrak,28,881,0,4,4736,95,0.009,0.748,84,309.7,54.95,283,515,57.8,767,1327,23,69.52,219,96,-125,11,12,40.13,63,157,60,2.97,53,0.513,0.359,0.268,-0.113,20.03,246,"1,228",31.83,387,5.8,71,118.14,124.44,113.77,177.41,182.91,171.37,1.501,1.527,1.447,11.39,6.97,14.3,2559.8,5431,1529,6.7,7.7,3.8,293.7,322.5,248,70.444,6927,99,15.49,276,1782,33
Jhonattan Vegas,27,598,0,1,5019,92,-0.136,-8.136,60,303.1,59.09,312,528,57.19,684,1196,119,66.95,158,78,-77,-3,15,40.37,65,161,74,3.5,56,0.108,0.311,-0.078,-0.124,18.96,160,844,31.73,264,7.1,59,121.87,127.85,117.6,181.35,186,177.34,1.488,1.519,1.424,11.37,8.16,14.14,3013.8,6041,1485,6.2,7.9,1,289.2,320.5,255,71.275,6339,89,17.42,279,1602,35
Jim Furyk,15,291,0,2,5326,50,0.327,13.72,42,280.5,64.54,182,282,69.77,427,612,148,28.36,38,96,-22,-23,7,45.33,34,75,35,2.31,20,0.087,-0.277,0.111,0.253,1.37,8,584,25.17,147,4.3,25,105.27,109.25,102.44,157.36,161.32,153.12,1.495,1.518,1.445,11.34,7.21,14.59,2625.8,4711,2074,6,6.9,4.4,249.8,271.6,226,70.342,3388,48,16.09,139,864,48
Jimmy Walker,23,741,0,4,4876,81,0.384,23.797,62,298.5,59.96,295,492,52.89,539,1019,175,52.42,119,108,-64,6,20,53.57,75,140,42,1.88,26,-0.013,-0.467,0.273,0.181,11.46,99,864,34.05,285,6,50,115.6,118.26,111.77,173.97,178.35,167.74,1.504,1.519,1.469,11.3,6.71,15.18,2360.1,4911,1794,6.3,7.7,0.6,281.5,312.2,249.8,70.786,5456,77,17.24,239,1386,39
Joel Dahmen,28,676,0,3,4941,93,-0.277,-19.675,71,295.8,63.31,302,477,66.36,789,1189,41,60.39,154,101,-80,-2,14,51.85,70,135,31,3.59,55,0.677,0.3,0.382,-0.004,8.45,84,994,24.97,247,6.2,61,112.78,116.21,109.16,167.94,172.91,161.82,1.489,1.519,1.43,11.28,7.67,15.45,2704.3,4665,2006,6.7,7.9,2.8,278.1,300.8,245.9,70.578,5953,85,14.18,217,1530,32
John Huh,29,480,0,2,5137,94,0.167,13.73,82,287.1,57.94,321,554,63.83,803,1258,113,51.88,152,141,-78,-7,19,47.06,72,153,62,2.47,40,0.083,-0.11,0.24,-0.047,3.84,44,"1,146",27.42,314,5.4,62,109.36,114.62,105.63,162.77,167.08,154.81,1.488,1.516,1.421,11.28,7.72,14.37,2197.1,4659,1501,6,7.3,2.4,266.1,289.4,239.8,70.718,6329,90,16.36,265,1620,35
Johnson Wagner,21,338,0,0,5279,75,0.623,34.286,55,286.1,65.41,261,399,64.25,620,965,69,41.55,86,121,-57,-23,8,52.75,48,91,16,2.01,25,0.092,-0.213,0.078,0.226,5.19,40,770,27.15,208,5.6,43,108.61,112.88,105.55,161.36,165.31,155.93,1.486,1.518,1.398,11.27,6.76,15.32,2421,3431,1576,6.3,7.5,4.2,264.9,285.5,230.1,70.758,4826,69,12.8,159,1242,34
Jon Rahm,18,1474,1,5,4143,63,-0.121,-4.947,41,310.5,59.18,174,294,59.06,466,789,8,74.55,123,42,-66,4,9,45.98,40,87,22,3.32,37,1.224,0.872,0.15,0.203,31.7,201,634,28.57,178,6.6,41,118.5,123.14,115.38,177.19,182.39,171.77,1.495,1.519,1.449,11.26,7.7,16.45,2396.1,3644,1595,6.7,7.8,5,298.3,332.4,263,69.995,4321,62,15.77,176,1116,23
Jonas Blixt,23,167,0,0,5450,67,0.244,11.722,48,293.1,56.83,237,417,60.3,518,859,180,55.26,105,85,-53,-4,8,52.13,49,94,26,2.82,31,-0.791,-0.424,-0.563,0.196,8.28,56,676,30.65,206,5.1,34,110.49,116.34,106.77,165.21,172.28,157.24,1.495,1.519,1.424,11.24,8.2,15.1,2496.8,3132,1992,6.4,7.6,4,276.2,302.2,237.6,72.134,4383,61,18.94,208,1098,30
Jonathan Byrd,24,147,0,0,5470,70,-0.106,-5.087,48,291.7,58.31,207,355,58.59,508,867,58,57.89,99,72,-59,-3,8,57.65,49,85,21,3.14,35,-0.16,-0.542,0.043,0.339,4.76,32,672,28.87,192,7.5,50,111.51,115.61,107.89,166.28,170,161.16,1.491,1.516,1.435,11.23,5.67,14.92,2646.5,4639,1622,6.4,7.9,4.5,276.2,302.8,241.1,71.398,4382,62,15.77,176,1116,38
Jonathan Randolph,25,166,0,1,5451,71,0.115,6.907,60,289.4,59.83,277,463,62.18,564,907,188,49.29,104,107,-47,-10,12,54.03,67,124,44,3.16,37,-0.992,-0.271,-0.538,-0.182,5.13,43,838,27.49,229,6.7,56,111.45,115.51,108.79,162.51,166.87,155.14,1.458,1.497,1.412,11.19,7.74,14.09,2650.9,5193,1900,6,7.4,3.9,263,284.7,235.7,71.945,4652,65,18.55,217,1170,34
Jordan Spieth,22,1299,0,5,4318,77,-0.031,-1.84,60,299.9,63.2,237,375,61.02,601,985,15,64.53,151,83,-89,-5,8,53.27,57,107,24,3.07,42,1.016,0.304,0.445,0.267,15.48,139,898,28.22,250,6,53,113.44,116.33,110.53,170.46,175.59,164.44,1.502,1.518,1.478,11.16,7.46,15.48,2335.6,3559,1569,6.3,8.5,3.8,279.6,312.2,245.7,69.904,5284,76,13.89,190,1368,25
Justin Rose,16,3191,2,9,2426,62,0.512,20.974,41,303.1,63.64,189,297,64.42,487,756,31,64.42,105,58,-72,-9,5,58.82,60,102,19,2.33,26,1.363,0.592,0.414,0.357,16.77,105,626,23.84,149,6.2,39,116.99,122.61,112.31,172.33,179.44,166.94,1.473,1.515,1.406,11.14,7.64,16.04,2416,3179,1632,6.4,7.7,3.6,291.2,316.4,266.1,69,4282,62,12.81,143,1116,38
Justin Thomas,21,3084,3,9,2533,83,0.297,16.658,56,312.9,63.14,245,388,58.01,572,986,32,69.55,153,67,-105,-9,10,53.45,62,116,22,2.49,35,1.653,0.471,0.967,0.215,25.83,218,844,31.06,259,7.4,62,117.21,120.2,114.34,176.02,179.82,169.28,1.501,1.519,1.425,11.11,9.08,13.45,2405.5,4658,1402,6.3,7.6,4,286.2,317.6,230.2,69.117,5388,78,13.96,196,1404,25
Keegan Bradley,25,979,0,4,4638,90,-0.493,-34.538,70,300.3,58.15,264,454,68.16,792,1162,29,65.66,174,91,-97,-5,10,45.33,68,150,52,2.75,44,1.384,0.288,0.99,0.107,8.72,90,"1,032",22.61,232,5.6,57,114.35,118.53,111.63,171.21,174.45,166.67,1.497,1.517,1.424,11.1,7.07,14.39,2598.6,4931,1708,6.9,8.5,1.7,283.2,307.4,254.1,70.254,6241,89,15.54,249,1602,32
Keith Mitchell,28,839,0,4,4778,95,-0.509,-40.194,79,312.9,56.48,292,517,58.19,757,1301,36,71.72,208,82,-123,-9,18,49.28,68,138,38,4.18,73,0.534,0.742,-0.118,-0.09,24.96,290,"1,162",29.78,344,6.8,79,124.67,129.08,118.42,181.57,187.5,176.57,1.456,1.51,1.379,11.07,7.78,13.72,2757.8,6329,1541,6.5,7.9,3.2,295.7,322.3,262.9,70.92,6819,97,16.44,287,1746,34
Kelly Kraft,31,627,0,3,4990,94,0.075,5.534,74,288.6,58.93,353,599,65.84,846,1285,154,46.3,119,138,-49,-12,14,44.94,71,158,70,2.9,48,-0.395,-0.286,0.017,-0.126,3.97,41,"1,032",25.49,262,5.4,56,108.58,113.72,105.57,163.12,168.08,158.67,1.502,1.517,1.477,11.07,6.69,16.19,2705.7,7032,1811,6.4,7.5,5,267.3,293,242.5,71.333,6547,92,17.21,285,1656,26
Kevin Chappell,23,667,0,4,4950,77,-0.406,-23.544,58,308.8,58.5,241,412,61.09,603,987,88,64.96,152,82,-87,-10,8,44.55,49,110,40,4.28,57,0.828,0.628,0.391,-0.191,24.88,203,816,28.47,230,6.1,49,119.25,124.59,116.06,177.04,180.07,170.99,1.485,1.517,1.405,11.06,7.63,14.42,2654.9,5218,1506,6.7,8,1,291.9,324,259.1,70.839,5243,74,17.87,238,1332,31
Kevin Kisner,24,1111,0,4,4506,85,0.564,33.27,59,291.1,60.98,275,451,65.81,668,1015,126,46.73,100,114,-64,-12,12,44.83,52,116,42,1.5,21,-0.381,-0.005,-0.306,-0.069,6.88,61,886,24.4,215,5.4,48,112.5,116.25,107.68,164.87,170.15,159.36,1.465,1.516,1.403,11.06,7.41,14.9,2869.2,4202,2113,6.4,7.7,4.6,269.1,301.9,230.9,70.729,5491,78,15.24,214,1404,34
Kevin Na,24,1387,1,4,4230,83,0.44,27.291,62,290.3,64.52,320,496,64.2,703,1095,142,49.77,109,110,-70,-11,11,62.22,84,135,25,2.44,36,0.431,-0.341,0.373,0.4,5.41,50,924,25.76,237,6.3,58,113.63,120.73,108.39,166.17,172.67,158.07,1.462,1.507,1.42,11.04,6.36,15.46,2909.3,5810,1542,6.2,7.2,4.8,267.9,298.6,234.3,70.247,5728,82,14.57,215,1476,35
Kevin Streelman,27,724,0,5,4893,94,-0.25,-20.478,82,295.1,60.93,287,471,69.11,888,1285,3,55.97,178,140,-94,-13,18,47.24,77,163,52,2.17,36,0.868,0.439,0.415,0.014,6.02,69,"1,146",23.01,263,5,57,114.53,117.66,111.35,169.2,172.48,159.19,1.477,1.509,1.429,11.04,8.01,14.43,2517.9,3302,1784,6.4,7.2,3.5,279.9,313.5,248.8,70.436,6449,92,12.92,214,1656,38
