,AGE,ATTEMPTS_GFG,AVG_Driving_DISTANCE,AVG_SCORE,FAIRWAY_HIT_%,GIR_RANK,MISSED_GIR,NUMBER_OF_TOP_Tens,NUMBER_OF_WINS,PAR_OR_BETTER,POINTS,ROUGH_TENDNECY%,SAND_SAVE%,SG:APR,SG:ARG,SG:OTT,TOTAL_3_PUTTS,TOTAL_SG:PUTTING,UP_AND_DOWN_%,labels
120,36.0,104.0,304.2,71.112,58.98,87.0,353.0,0.0,0.0,213.0,264.0,28.57,50.48,-0.304,0.17,0.325,38.0,-3.783,60.34,2
121,40.0,113.0,287.8,70.461,62.97,90.0,461.0,4.0,0.0,297.0,740.0,27.41,61.97,0.238,0.222,-0.206,36.0,23.37,64.43,3
122,25.0,82.0,289.9,71.662,54.89,186.0,496.0,1.0,1.0,278.0,675.0,30.57,48.84,-0.213,-0.027,-1.023,32.0,14.004,56.05,0
123,28.0,91.0,296.4,70.924,64.66,19.0,312.0,0.0,0.0,174.0,280.0,23.17,48.61,-0.423,0.05,-0.073,30.0,27.889,55.77,2
124,35.0,68.0,293.9,70.999,60.58,57.0,269.0,0.0,0.0,163.0,168.0,27.37,48.57,0.036,0.08,0.111,20.0,2.853,60.59,2
125,33.0,88.0,293.5,71.344,60.44,65.0,397.0,1.0,0.0,214.0,272.0,31.18,43.96,-0.368,-0.052,-0.258,38.0,20.924,53.9,0
126,30.0,155.0,292.7,71.269,60.94,78.0,524.0,2.0,0.0,324.0,420.0,30.83,55.56,0.011,0.017,0.049,55.0,-23.071,61.83,3
127,37.0,169.0,307.5,70.862,56.33,66.0,519.0,1.0,0.0,289.0,760.0,29.86,43.79,0.141,-0.167,0.17,34.0,15.999,55.68,4
128,25.0,133.0,301.7,70.641,52.28,167.0,562.0,3.0,0.0,324.0,573.0,36.58,50.31,0.104,0.264,-0.406,39.0,24.38,57.65,3
129,47.0,58.0,300.1,70.89,55.18,192.0,277.0,0.0,0.0,156.0,29.0,28.77,62.34,-0.663,0.23,-0.448,39.0,-5.742,56.32,0
130,39.0,86.0,292.9,70.594,64.87,72.0,388.0,4.0,1.0,218.0,1167.0,30.4,43.52,-0.199,0.048,-0.032,33.0,6.287,56.19,2
131,25.0,164.0,303.2,69.861,61.52,11.0,360.0,7.0,1.0,213.0,1838.0,29.3,54.64,0.567,0.199,0.723,45.0,-3.052,59.17,1
132,28.0,134.0,299.3,69.982,54.11,159.0,484.0,7.0,1.0,311.0,1761.0,32.37,55.35,0.255,0.543,0.091,33.0,7.698,64.26,1
133,26.0,144.0,303.4,70.731,60.92,112.0,547.0,3.0,0.0,318.0,541.0,28.78,52.52,-0.412,0.043,-0.033,42.0,41.152,58.14,3
134,27.0,145.0,299.0,70.851,54.82,45.0,457.0,4.0,2.0,253.0,1413.0,34.14,42.34,0.39,-0.167,-0.278,43.0,11.231,55.36,4
135,35.0,86.0,304.1,69.878,62.81,62.0,345.0,5.0,1.0,210.0,1499.0,26.1,50.65,0.703,0.063,0.179,34.0,4.79,60.87,1
136,30.0,132.0,290.9,70.841,56.86,172.0,553.0,0.0,0.0,339.0,226.0,29.08,56.69,-0.257,0.255,-0.372,27.0,46.404,61.3,3
137,34.0,128.0,301.3,70.578,51.93,79.0,408.0,4.0,0.0,244.0,843.0,33.61,56.73,-0.043,0.229,0.031,42.0,4.996,59.8,3
138,48.0,134.0,299.9,69.927,52.33,127.0,470.0,6.0,1.0,286.0,1969.0,35.82,60.9,0.634,0.13,-0.147,35.0,48.801,60.85,1
