,AGE,ATTEMPTS_GFG,AVG_Driving_DISTANCE,AVG_SCORE,FAIRWAY_HIT_%,GIR_RANK,MISSED_GIR,NUMBER_OF_TOP_Tens,NUMBER_OF_WINS,PAR_OR_BETTER,POINTS,ROUGH_TENDNECY%,SAND_SAVE%,SG:APR,SG:ARG,SG:OTT,TOTAL_3_PUTTS,TOTAL_SG:PUTTING,UP_AND_DOWN_%,labels
46,34.0,166.0,290.2,70.411,64.02,76.0,592.0,4.0,0.0,375.0,834.0,27.02,53.8,0.529,0.19,-0.041,48.0,10.284,63.34,3
47,32.0,135.0,289.8,71.628,62.24,173.0,487.0,1.0,0.0,292.0,255.0,28.47,53.42,-0.056,-0.058,-0.277,38.0,3.098,59.96,3
48,27.0,124.0,301.0,72.112,55.45,177.0,439.0,0.0,0.0,234.0,141.0,33.29,48.72,-0.696,-0.111,-0.212,32.0,10.838,53.3,0
49,30.0,80.0,291.3,71.465,65.77,103.0,340.0,0.0,0.0,204.0,92.0,26.63,48.15,-0.008,-0.252,0.114,30.0,-7.33,60.0,2
50,26.0,156.0,303.3,70.743,62.99,17.0,499.0,1.0,0.0,287.0,353.0,28.14,44.27,0.275,-0.198,0.501,65.0,-30.431,57.52,4
51,41.0,80.0,280.8,73.019,60.47,191.0,437.0,1.0,0.0,233.0,162.0,29.49,57.66,-0.541,0.051,-1.069,35.0,5.274,53.32,0
52,25.0,142.0,298.0,70.32,64.0,85.0,422.0,1.0,0.0,251.0,839.0,27.0,48.74,0.509,-0.166,0.149,35.0,10.445,59.48,4
53,34.0,74.0,287.1,73.177,54.69,194.0,350.0,1.0,0.0,192.0,89.0,37.79,52.44,-1.586,-0.277,-0.977,12.0,27.96,54.86,0
54,28.0,155.0,290.6,71.196,62.65,131.0,541.0,3.0,0.0,329.0,587.0,26.93,55.62,-0.155,0.051,0.005,44.0,10.927,60.81,3
55,39.0,68.0,285.1,71.325,66.63,40.0,336.0,2.0,0.0,187.0,315.0,26.69,47.62,0.379,-0.113,-0.17,39.0,-6.334,55.65,2
56,31.0,119.0,285.4,71.043,68.93,169.0,519.0,0.0,0.0,304.0,274.0,23.65,48.41,-0.16,-0.081,0.006,36.0,15.774,58.57,3
57,25.0,104.0,295.4,70.861,63.45,59.0,361.0,1.0,0.0,216.0,267.0,25.26,46.15,-0.347,-0.019,0.011,27.0,22.017,59.83,2
58,27.0,134.0,289.1,71.827,53.27,190.0,571.0,1.0,0.0,314.0,316.0,33.65,43.62,-0.365,-0.048,-0.757,41.0,24.663,54.99,0
59,26.0,127.0,297.0,71.179,55.69,185.0,457.0,0.0,0.0,269.0,190.0,30.88,44.8,-0.252,0.133,-0.244,28.0,18.799,58.86,0
60,34.0,137.0,314.5,68.702,57.96,27.0,338.0,11.0,3.0,214.0,3289.0,32.0,50.63,0.824,0.157,1.006,21.0,25.126,63.31,1
61,25.0,139.0,294.7,70.152,69.82,36.0,478.0,6.0,0.0,299.0,1252.0,22.27,56.03,0.434,-0.092,0.413,44.0,38.484,62.55,3
62,28.0,107.0,299.0,72.038,60.25,137.0,430.0,0.0,0.0,236.0,157.0,30.53,34.86,-0.423,-0.309,-0.054,45.0,-1.408,54.88,0
63,39.0,132.0,291.1,71.02,64.99,70.0,486.0,0.0,0.0,286.0,221.0,27.38,43.2,-0.015,-0.03,-0.062,41.0,0.056,58.85,4
64,35.0,119.0,301.6,69.746,63.97,16.0,311.0,4.0,2.0,187.0,1682.0,24.01,50.0,0.702,0.205,0.767,36.0,-21.89,60.13,1
65,34.0,165.0,313.2,70.197,62.69,9.0,415.0,3.0,1.0,226.0,1205.0,28.84,42.77,0.53,-0.295,0.862,57.0,-2.586,54.46,4
66,39.0,97.0,293.2,71.001,64.44,146.0,365.0,1.0,0.0,222.0,274.0,28.62,47.32,-0.026,0.099,0.143,34.0,21.497,60.82,2
67,24.0,166.0,307.3,72.091,56.0,176.0,486.0,2.0,0.0,264.0,438.0,31.37,43.93,-0.347,-0.015,0.375,60.0,-20.673,54.32,4
68,44.0,66.0,282.8,72.531,58.9,193.0,403.0,1.0,0.0,213.0,133.0,26.98,50.44,-1.192,-0.174,-0.69,14.0,32.382,52.85,0
69,28.0,162.0,308.2,70.971,58.73,61.0,500.0,3.0,0.0,295.0,524.0,32.39,52.0,-0.052,0.052,0.209,51.0,-1.846,59.0,4
70,29.0,154.0,302.4,71.162,58.99,166.0,515.0,2.0,0.0,298.0,383.0,29.21,44.67,-0.297,0.111,-0.219,33.0,15.063,57.86,3
71,42.0,88.0,291.0,69.617,74.33,1.0,227.0,5.0,0.0,138.0,881.0,16.67,54.39,0.975,-0.084,0.587,19.0,-15.604,60.79,2
72,28.0,122.0,302.5,70.089,60.87,51.0,342.0,3.0,0.0,210.0,1271.0,31.42,55.42,0.503,0.26,0.164,39.0,8.86,61.4,1
73,27.0,118.0,302.8,71.619,64.57,38.0,374.0,0.0,0.0,202.0,245.0,23.62,51.52,-0.237,-0.221,0.225,53.0,-13.534,54.01,4
74,36.0,114.0,296.9,71.135,65.04,39.0,352.0,1.0,0.0,207.0,234.0,28.87,40.95,-0.149,-0.453,0.465,25.0,17.634,58.81,2
75,38.0,77.0,293.4,70.593,65.31,96.0,333.0,4.0,1.0,195.0,1061.0,25.82,51.46,0.454,0.168,0.193,24.0,7.156,58.56,2
76,34.0,161.0,306.1,70.789,57.13,123.0,469.0,3.0,0.0,268.0,668.0,30.66,54.55,0.159,0.032,0.565,41.0,-14.109,57.14,4
77,39.0,101.0,291.8,71.372,66.22,12.0,398.0,1.0,0.0,218.0,239.0,25.72,42.22,0.34,-0.138,0.174,44.0,-35.859,54.77,4
78,29.0,137.0,298.9,70.525,65.71,44.0,423.0,4.0,0.0,236.0,880.0,24.34,44.17,0.453,-0.244,0.319,42.0,-11.191,55.79,4
79,31.0,117.0,300.7,70.915,61.53,52.0,405.0,2.0,0.0,233.0,448.0,30.52,50.0,-0.373,-0.005,0.381,29.0,7.706,57.53,2
80,32.0,146.0,298.7,70.896,63.73,54.0,468.0,1.0,0.0,279.0,666.0,25.03,48.48,0.081,0.028,0.323,45.0,-10.517,59.62,4
81,29.0,182.0,303.2,70.734,56.92,143.0,560.0,3.0,0.0,342.0,664.0,32.71,53.33,-0.04,0.519,-0.101,43.0,0.81,61.07,3
82,30.0,80.0,310.7,69.586,59.02,124.0,363.0,5.0,2.0,234.0,1935.0,30.55,64.17,-0.133,0.629,0.229,22.0,33.632,64.46,1
83,41.0,106.0,296.9,71.323,61.94,144.0,382.0,2.0,0.0,226.0,557.0,26.16,51.55,-0.126,-0.207,0.259,45.0,-1.467,59.16,2
